OBJECTID,MUNICIPALITE,NOM_LIEU,XNAD83MTM6,YNAD83MTM6,NOM_RESEAU,MOT_PASSE,DETAILS,FOURNISSEUR,GEOM,GlobalID
26,10043,Centre communautaire Saint-Pie-X,230549.6464999998,5368455.9582,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{03F42509-63F7-44B8-A802-5389B91CDD7F}
27,10043,Centre communautaire Terrasse Arthur-Buies,228839.8454,5366259.198799999,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{FCE9DCB8-CC7E-43C4-A914-8BD13EBF6988}
28,10043,Centre Curé-Soucy,215577.20210000034,5359894.8891,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{165FEDB5-6A06-404C-BCBF-DAF386B0293D}
30,10043,Pavillon de la Jeunesse,233772.41985000018,5358365.549825,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{E9471435-CBDC-47AA-8B44-67D45D542394}
31,10043,Centre communautaire Nazareth,227015.1299999999,5367506.7929,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{D924C297-4A19-48DD-A9FD-48562697388D}
32,10043,Restaurant Chez Oeufs,228321.59669999965,5368264.6383,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{B4DBABFF-A7EE-4A6A-BAE2-CC65882B643A}
33,10043,Chocolaterie Pâtisserie aux Bienfaits,229053.05769999977,5368278.742875,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{0C9EA8A3-81C5-4B9E-B587-0ADBC7B9762B}
34,10043,Piscine Saint-Germain,229163.37129999977,5368146.366575001,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{F269D1C6-8987-40C9-A0DF-972CCDC6FEAA}
35,10043,Pavillon Polyvalent,229283.3097000001,5367997.9048999995,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{74CF810F-F5A7-484C-A274-CD83EC96201C}
36,10043,Centre Communautaire Sainte-Agnès Sud,230461.8537750002,5369259.71005,ZAPBSL,Mot de passe attribué par la Z.A.P.,http://zapbsl.org/pour-vous-brancher/,Z.A.P. du Bas-Saint-Laurent,Point,{8E26A9AB-905E-469A-96A9-7377115078EE}
